City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Madikeri,38,IN,92,12.4167,75.7333,64.24,1.52
Owasso,75,US,53,36.2695,-95.8547,80.6,25.32
Natchitoches,1,US,53,31.7668,-93.1335,78.8,9.22
Guiglo,100,CI,96,6.5456,-7.4966,73.4,1.03
Vitré,75,FR,93,48.1178,-1.2058,39.2,6.91
Kaeo,100,NZ,66,-35.1,173.7833,72.0,5.99
Bathsheba,20,BB,65,13.2167,-59.5167,78.8,11.5
Wuda,47,CN,57,39.4994,106.7117,45.39,5.73
Zhuanghe,5,CN,43,39.7008,122.9911,49.98,4.27
Humaitá,96,BR,93,-7.5061,-63.0208,76.08,1.12
Angoulême,0,FR,56,45.65,0.15,37.4,5.75
Toora-Khem,19,RU,97,52.4675,96.11,24.26,1.48
Chatrapur,1,IN,83,19.35,84.9833,77.38,13.96
Lata,66,PT,76,40.1629,-8.3327,55.99,3.0
Tongliao,0,CN,17,43.6125,122.2653,36.18,5.32
Kalga,35,RU,42,50.9251,118.898,28.62,2.91
Ferzikovo,100,RU,75,54.5191,36.7567,41.0,2.24
Bloomington,90,US,59,44.8408,-93.2983,66.2,14.97
Kautokeino,100,NO,93,69.0125,23.0412,24.62,10.51
Vanimo,99,PG,88,-2.6741,141.3028,78.69,1.81
Anáhuac,40,MX,26,27.2333,-100.15,95.0,17.27
Bundaberg,90,AU,78,-24.85,152.35,79.0,13.8
Dukat,100,RU,86,62.55,155.55,6.87,3.49
Seoul,2,KR,87,37.5683,126.9778,46.4,1.14
Wajima,41,JP,60,37.4,136.9,49.75,5.61
Chui,8,UY,88,-33.6971,-53.4616,67.3,7.52
Saquarema,75,BR,83,-22.92,-42.5103,75.2,4.61
Nacala,19,MZ,86,-14.5428,40.6728,69.13,7.96
Malpe,40,IN,94,13.35,74.7167,80.6,3.51
Dicabisagan,87,PH,85,17.0818,122.4157,74.28,8.63
Lompoc,95,US,63,34.6391,-120.4579,61.0,16.11
Davlekanovo,90,RU,81,54.2215,55.0343,37.4,6.71
Coquimbo,0,CL,77,-29.9533,-71.3436,62.6,11.5
Ténenkou,52,ML,9,14.4572,-4.9169,88.02,10.98
Gamboula,58,CF,71,4.1178,15.1393,73.15,3.22
Meulaboh,99,ID,85,4.1363,96.1285,76.8,2.62
Sicamous,62,CA,40,50.8331,-118.9856,60.01,3.44
